,compiler,compiler_flags,IDX0,IDX1,IDX2,IDX3,IDX4,IDX5,IDX6,IDX7,INSTRUCTIONS_RETIRED,CFG,DiscardedpapiValues,DiscardedtimeValues,DiscardedtscValues,FLOPSs,GATHER,papi,time,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_GPR_GPR_MEM,vmovdqa_YMM_GPR_GPR_LABEL,SCATTER,kxnorb_GPR_GPR_GPR,vmovq_XMM_GPR,vscatterdps_IMM_YMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,SET_IDX5,SET_IDX6,SET_IDX7,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,CL_IDX5,CL_IDX6,CL_IDX7,N_CL,N_SETS
23,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,6,234,0.0,-DSCATTER,0.0,0.0,0.0,216049382.7160494,0.0,7.073099999999998,4.628571428571428e-09,10.637657142857142,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,5,0,6,0,0,0,0,0,5,0,14,3,3
24,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,96,7,0.0,-DGATHER,0.0,0.0,0.0,294117647.0588235,1.0,5.073100000000001,3.4000000000000003e-09,7.1606,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,0,3,3
25,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,96,7,0.0,-DSCATTER,0.0,0.0,0.0,220820189.27444792,0.0,7.073099999999998,4.528571428571429e-09,11.322,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,0,3,3
26,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,96,112,0.0,-DGATHER,0.0,0.0,0.0,297872340.42553186,1.0,5.073100000000001,3.3571428571428567e-09,7.1492,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,5,6,7,0,0,0,0,0,5,6,7,4,4
27,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,96,112,0.0,-DSCATTER,0.0,0.0,0.0,220820189.27444792,0.0,7.073099999999998,4.528571428571429e-09,10.632742857142857,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,5,6,7,0,0,0,0,0,5,6,7,4,4
28,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,96,234,0.0,-DGATHER,0.0,0.0,0.0,271317829.4573644,1.0,5.073100000000001,3.685714285714285e-09,7.188942857142858,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,5,6,6,0,0,0,0,0,5,6,14,4,3
29,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,96,234,0.0,-DSCATTER,0.0,0.0,0.0,197183098.59154928,0.0,7.073099999999998,5.071428571428572e-09,10.610114285714287,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,5,6,6,0,0,0,0,0,5,6,14,4,3
30,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,109,7,0.0,-DGATHER,0.0,0.0,0.0,288065843.6213992,1.0,5.073100000000001,3.4714285714285714e-09,7.174428571428571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,0,3,3
31,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,109,7,0.0,-DSCATTER,0.0,0.0,0.0,214067278.2874618,0.0,7.073114285714285,4.671428571428571e-09,10.64722857142857,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,0,3,3
32,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,109,112,0.0,-DGATHER,0.0,0.0,0.0,296610169.4915254,1.0,5.073100000000001,3.3714285714285714e-09,7.473914285714286,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,5,6,7,0,0,0,0,0,5,6,7,4,4
33,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,109,112,0.0,-DSCATTER,0.0,0.0,0.0,152173913.04347825,0.0,7.073099999999998,6.571428571428572e-09,11.0044,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,5,6,7,0,0,0,0,0,5,6,7,4,4
34,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,109,234,0.0,-DGATHER,0.0,0.0,0.0,295358649.7890295,1.0,5.073100000000001,3.385714285714286e-09,7.814142857142856,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,5,6,6,0,0,0,0,0,5,6,14,4,3
35,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,80,109,234,0.0,-DSCATTER,0.0,0.0,0.0,218750000.0,0.0,7.073099999999998,4.571428571428571e-09,10.650742857142856,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,5,6,6,0,0,0,0,0,5,6,14,4,3
