N_SET,N_CL,tsc,tsc_cat
2.0,4.0,10.37298,tsc-09.623-12.964
3.0,4.0,10.371437142857143,tsc-09.623-12.964
4.0,5.0,10.024037142857145,tsc-09.623-12.964
3.0,5.0,10.405894285714286,tsc-09.623-12.964
2.0,4.0,10.346065714285713,tsc-09.623-12.964
3.0,5.0,10.435951428571428,tsc-09.623-12.964
2.0,5.0,10.668751428571428,tsc-09.623-12.964
1.0,2.0,10.034322857142856,tsc-09.623-12.964
2.0,3.0,10.018380000000002,tsc-09.623-12.964
1.0,3.0,10.742094285714286,tsc-09.623-12.964
2.0,3.0,10.029894285714287,tsc-09.623-12.964
3.0,4.0,10.348665714285714,tsc-09.623-12.964
2.0,4.0,10.65838,tsc-09.623-12.964
1.0,3.0,10.350465714285717,tsc-09.623-12.964
2.0,4.0,10.419551428571427,tsc-09.623-12.964
1.0,4.0,10.888751428571428,tsc-09.623-12.964
2.0,3.0,10.38278,tsc-09.623-12.964
3.0,4.0,10.333837142857144,tsc-09.623-12.964
2.0,4.0,10.35100857142857,tsc-09.623-12.964
3.0,4.0,10.30118,tsc-09.623-12.964
4.0,5.0,10.319122857142856,tsc-09.623-12.964
3.0,5.0,10.344665714285714,tsc-09.623-12.964
2.0,4.0,10.40220857142857,tsc-09.623-12.964
3.0,5.0,11.00860857142857,tsc-09.623-12.964
2.0,5.0,10.645608571428571,tsc-09.623-12.964
1.0,3.0,10.65015142857143,tsc-09.623-12.964
2.0,4.0,10.71958,tsc-09.623-12.964
1.0,4.0,11.18898,tsc-09.623-12.964
2.0,4.0,10.513665714285713,tsc-09.623-12.964
3.0,5.0,10.315465714285713,tsc-09.623-12.964
2.0,5.0,10.67058,tsc-09.623-12.964
1.0,4.0,11.02020857142857,tsc-09.623-12.964
2.0,5.0,10.61878,tsc-09.623-12.964
1.0,5.0,10.960265714285716,tsc-09.623-12.964
2.0,2.0,12.77718,tsc-12.983-14.893
3.0,3.0,15.477608571428572,tsc-14.976-16.783
2.0,3.0,13.276494285714287,tsc-12.983-14.893
3.0,3.0,13.057722857142858,tsc-12.983-14.893
4.0,4.0,13.058494285714286,tsc-12.983-14.893
3.0,4.0,13.51240857142857,tsc-12.983-14.893
2.0,3.0,13.11360857142857,tsc-12.983-14.893
3.0,4.0,15.553980000000003,tsc-14.976-16.783
2.0,4.0,13.593694285714284,tsc-12.983-14.893
3.0,3.0,15.013380000000002,tsc-14.976-16.783
4.0,4.0,12.792694285714283,tsc-12.983-14.893
3.0,4.0,13.386208571428572,tsc-12.983-14.893
4.0,4.0,12.812637142857142,tsc-12.983-14.893
5.0,5.0,15.525008571428572,tsc-14.976-16.783
4.0,5.0,15.510380000000001,tsc-14.976-16.783
3.0,4.0,13.442465714285714,tsc-12.983-14.893
4.0,5.0,15.159094285714286,tsc-14.976-16.783
3.0,5.0,13.37578,tsc-12.983-14.893
2.0,3.0,17.231865714285718,tsc-16.786-20.106
3.0,4.0,13.091894285714286,tsc-12.983-14.893
2.0,4.0,13.451922857142856,tsc-12.983-14.893
3.0,4.0,19.27983714285714,tsc-16.786-20.106
4.0,5.0,13.086608571428572,tsc-12.983-14.893
3.0,5.0,13.445037142857144,tsc-12.983-14.893
2.0,4.0,13.79220857142857,tsc-12.983-14.893
3.0,5.0,13.396779999999998,tsc-12.983-14.893
2.0,5.0,14.153008571428572,tsc-12.983-14.893
3.0,3.0,12.96435142857143,tsc-12.983-14.893
4.0,4.0,12.80203714285714,tsc-12.983-14.893
3.0,4.0,15.232665714285712,tsc-14.976-16.783
4.0,4.0,12.836037142857142,tsc-12.983-14.893
5.0,5.0,13.07215142857143,tsc-12.983-14.893
4.0,5.0,13.655037142857145,tsc-12.983-14.893
3.0,4.0,13.096351428571428,tsc-12.983-14.893
4.0,5.0,15.194294285714289,tsc-14.976-16.783
3.0,5.0,13.805037142857143,tsc-12.983-14.893
4.0,4.0,12.80398,tsc-12.983-14.893
5.0,5.0,16.93840857142857,tsc-16.786-20.106
4.0,5.0,13.079579999999998,tsc-12.983-14.893
