,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_RETIRED:ALL,UOPS_ISSUED:ALL,UOPS_EXECUTED:THREAD,UOPS_RETIRED:STALL_CYCLES,UOPS_ISSUED:STALL_CYCLES,UOPS_EXECUTED:STALL_CYCLES,CL,V_LEN,X_IDX_A,X_N,BROADCAST,X_IDX_B,X_IDX_C,X_IDX_D,X_IDX_E,X_IDX_F,X_IDX_G,X_IDX_H,N_CL
85,2.0041388,5.000161,6.000445000000001,5.0005554,6.000492599999999,0.3247936,0.0012396,0.001161,2,8,0,8,,1,2,3,16.0,17.0,18.0,19.0,"(8, 2)"
86,5.005360399999999,5.000165399999999,8.0008226,7.001146799999999,8.0010192,1.0021922,3.0022234,1.0020513999999998,2,8,0,8,,1,2,3,16.0,17.0,20.0,22.0,"(8, 2)"
87,5.0055778,5.0001656,8.0008702,7.0011034,8.001088200000002,1.0021236,3.0021036000000003,1.0019918,2,8,0,8,,1,12,13,16.0,17.0,20.0,22.0,"(8, 2)"
88,3.0054468,8.0001616,10.0007108,7.0009988,10.0009806,0.501437,1.2513716,0.0013606,2,8,0,8,,1,12,13,16.0,17.0,18.0,19.0,"(8, 2)"
89,4.0047528,8.000162,10.0007244,7.0008638,10.0008652,1.2516908,1.0014982,0.001632,3,8,0,8,,1,2,3,16.0,17.0,32.0,33.0,"(8, 3)"
90,4.0046116,8.000162,10.0006792,7.0007862,10.0008008,1.2516546000000002,1.0015974,0.0015864,3,8,0,8,,1,6,7,16.0,17.0,32.0,33.0,"(8, 3)"
91,5.0054284,5.0001654,8.000823399999998,7.0010374,8.0010202,1.0019808,3.0020282,1.0017234,3,8,0,8,,3,6,11,16.0,18.0,32.0,37.0,"(8, 3)"
92,4.0049766,8.000162,10.0007236,7.0007876,10.000863,1.2515078000000002,1.0017717999999998,0.0016196,4,8,0,8,,1,16,17,32.0,33.0,48.0,49.0,"(8, 4)"
93,5.005545,5.0001656,8.000870600000002,7.0011026,8.001051,1.0031446,3.0021254,1.0019102,4,8,0,8,,5,16,19,32.0,35.0,48.0,50.0,"(8, 4)"
94,5.0054604,5.000165,8.0007298,7.00097,8.0010558,1.0020208,3.0020944,1.0019466,5,8,0,8,,1,16,17,32.0,33.0,48.0,99.0,"(8, 5)"
95,5.006503,5.0001656,8.0009494,7.001044,8.001022,1.002208,3.0021472,1.001831,5,8,0,8,,3,16,19,32.0,35.0,48.0,99.0,"(8, 5)"
96,5.005351,5.000165399999999,8.000951,7.0012264,8.0010896,1.0023399999999998,3.0024576,1.0022220000000002,6,8,11,8,,12,13,50,69.0,78.0,99.0,135.0,"(8, 6)"
97,5.006282000000001,5.0001654,8.000864400000001,7.0010408,8.001009199999999,1.0020078,3.0019786,1.0018598,7,8,11,8,,12,33,50,69.0,78.0,99.0,135.0,"(8, 7)"
98,5.005494400000001,5.0001654,8.000916,7.0011788,8.0011524,1.0023652,3.0022884000000003,1.0021532,7,8,11,8,,15,33,50,69.0,78.0,99.0,135.0,"(8, 7)"
99,5.0055608,5.000165399999999,8.0009034,7.001034799999999,8.0010192,1.0020692,3.0021224,1.001941,8,8,0,8,,16,32,48,64.0,80.0,96.0,112.0,"(8, 8)"
100,5.0053468,5.000165399999999,8.000823800000001,7.0010336,8.0009598,1.0019547999999998,3.0019654000000005,1.0018129999999998,8,8,11,8,,16,33,50,69.0,78.0,99.0,135.0,"(8, 8)"
