MARTA_NUM_THREADS,STRIDE,ADD_VERSION,BANDWIDTH,BANDWIDTH_cat
1,4,24,9.948075640565875,BANDWIDTH-00.425-32.749
1,8,24,9.945950446430045,BANDWIDTH-00.425-32.749
1,16,24,9.996711312336211,BANDWIDTH-00.425-32.749
1,32,24,9.948651033756637,BANDWIDTH-00.425-32.749
1,64,24,9.945978055727668,BANDWIDTH-00.425-32.749
1,128,24,9.952167340610398,BANDWIDTH-00.425-32.749
1,256,24,9.940205433402298,BANDWIDTH-00.425-32.749
1,512,24,10.08856190799897,BANDWIDTH-00.425-32.749
1,1024,24,9.979237703747724,BANDWIDTH-00.425-32.749
1,2048,24,9.94388509733562,BANDWIDTH-00.425-32.749
1,4096,24,9.992131363207278,BANDWIDTH-00.425-32.749
1,8192,24,9.95000620954836,BANDWIDTH-00.425-32.749
1,16384,24,9.95246627688792,BANDWIDTH-00.425-32.749
1,1,25,9.934548990327706,BANDWIDTH-00.425-32.749
1,2,25,9.938964140953711,BANDWIDTH-00.425-32.749
1,4,25,9.944914506625398,BANDWIDTH-00.425-32.749
1,8,25,9.94848084340341,BANDWIDTH-00.425-32.749
1,16,25,9.949215723515875,BANDWIDTH-00.425-32.749
1,32,25,9.937962827107553,BANDWIDTH-00.425-32.749
1,64,25,10.041293785651291,BANDWIDTH-00.425-32.749
1,128,25,9.976958382277836,BANDWIDTH-00.425-32.749
1,256,25,9.968985306760995,BANDWIDTH-00.425-32.749
1,512,25,9.973083877741278,BANDWIDTH-00.425-32.749
1,1024,25,9.97453631716275,BANDWIDTH-00.425-32.749
1,2048,25,9.975243043208806,BANDWIDTH-00.425-32.749
1,4096,25,10.002669041835956,BANDWIDTH-00.425-32.749
1,8192,25,9.9728006389977,BANDWIDTH-00.425-32.749
1,16384,25,9.943281725393064,BANDWIDTH-00.425-32.749
1,1,26,5.7008253798672905,BANDWIDTH-00.425-32.749
1,2,26,5.702116083244997,BANDWIDTH-00.425-32.749
1,4,26,5.698202256725384,BANDWIDTH-00.425-32.749
1,8,26,5.697483893119762,BANDWIDTH-00.425-32.749
1,16,26,5.695960993270363,BANDWIDTH-00.425-32.749
1,32,26,5.697261394564072,BANDWIDTH-00.425-32.749
1,64,26,5.694571060255266,BANDWIDTH-00.425-32.749
1,128,26,5.6963588336877935,BANDWIDTH-00.425-32.749
1,256,26,5.699025583618027,BANDWIDTH-00.425-32.749
1,512,26,5.703922603435156,BANDWIDTH-00.425-32.749
1,1024,26,5.740605285357285,BANDWIDTH-00.425-32.749
1,2048,26,5.888098063234136,BANDWIDTH-00.425-32.749
1,4096,26,5.693867721340594,BANDWIDTH-00.425-32.749
1,8192,26,5.88887497995654,BANDWIDTH-00.425-32.749
1,16384,26,5.6968942101447135,BANDWIDTH-00.425-32.749
2,1,0,27.52799825294233,BANDWIDTH-00.425-32.749
2,1,0,27.527783169647797,BANDWIDTH-00.425-32.749
2,2,0,27.50400315695118,BANDWIDTH-00.425-32.749
2,2,0,27.50254320525553,BANDWIDTH-00.425-32.749
2,4,0,27.51558986080342,BANDWIDTH-00.425-32.749
2,4,0,27.51657302279351,BANDWIDTH-00.425-32.749
2,8,0,27.52201302274861,BANDWIDTH-00.425-32.749
2,8,0,27.519725345506817,BANDWIDTH-00.425-32.749
2,16,0,27.511792184528318,BANDWIDTH-00.425-32.749
2,16,0,27.511321352883947,BANDWIDTH-00.425-32.749
2,32,0,27.52349475197005,BANDWIDTH-00.425-32.749
2,32,0,27.522199349938777,BANDWIDTH-00.425-32.749
2,64,0,27.49131069927673,BANDWIDTH-00.425-32.749
2,64,0,27.48847585731417,BANDWIDTH-00.425-32.749
2,128,0,27.50396737196842,BANDWIDTH-00.425-32.749
2,128,0,27.5025771974664,BANDWIDTH-00.425-32.749
2,256,0,27.521523925877656,BANDWIDTH-00.425-32.749
2,256,0,27.52305397908608,BANDWIDTH-00.425-32.749
2,512,0,27.47390156436877,BANDWIDTH-00.425-32.749
2,512,0,27.47257869324916,BANDWIDTH-00.425-32.749
2,1024,0,27.504398587210208,BANDWIDTH-00.425-32.749
2,1024,0,27.504085462764905,BANDWIDTH-00.425-32.749
2,2048,0,27.56076597505602,BANDWIDTH-00.425-32.749
2,2048,0,27.56131396249593,BANDWIDTH-00.425-32.749
2,4096,0,27.486443924964178,BANDWIDTH-00.425-32.749
2,4096,0,27.48534141018565,BANDWIDTH-00.425-32.749
2,8192,0,27.499968986697585,BANDWIDTH-00.425-32.749
2,8192,0,27.49921953066731,BANDWIDTH-00.425-32.749
2,16384,0,27.52888012959062,BANDWIDTH-00.425-32.749
2,16384,0,27.528933904384672,BANDWIDTH-00.425-32.749
2,1,11,27.05042899846784,BANDWIDTH-00.425-32.749
2,1,11,27.0499634416588,BANDWIDTH-00.425-32.749
2,2,11,17.008091391702703,BANDWIDTH-00.425-32.749
2,2,11,17.00740378638195,BANDWIDTH-00.425-32.749
