compiler,compiler_flags,MARTA_NUM_THREADS,OFFSET,STREAM_ARRAY_SIZE,ADD_VERSION,STRIDE,SW_PREFETCH,MEM_LOAD_UOPS_RETIRED:L1_HIT,MEM_LOAD_UOPS_RETIRED:L1_MISS,L2_RQSTS:DEMAND_DATA_RD_HIT,L2_RQSTS:DEMAND_DATA_RD_MISS,LONGEST_LAT_CACHE:MISS,MEM_LOAD_L3_MISS_RETIRED:LOCAL_DRAM,MEM_INST_RETIRED:ALL_LOADS,MEM_INST_RETIRED:ALL_STORES,n_thread,tsc,loops_vectorized,loop_interchange,BANDWIDTH,overhead_instructions,overhead_loop
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,1024,0,2050156.0,2057293.0,357442.0,2425913.0,6093645.0,1903112.0,8385393.0,4194696.0,0.0,213314598.0,9.0,0.0,3.9639654028741154,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,2048,0,2042006.0,1920647.0,358123.0,2437626.0,6094962.0,1749925.0,8387668.0,4194696.0,0.0,208522482.0,9.0,0.0,4.055062448374271,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,4096,0,2089152.0,1918351.0,325447.0,2408830.0,6091756.0,1759376.0,8385708.0,4194696.0,0.0,208025960.0,9.0,0.0,4.064741181341021,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,8192,0,2089117.0,1935870.0,302667.0,2386966.0,6090039.0,1782157.0,8385738.0,4194696.0,0.0,206043152.0,9.0,0.0,4.10385726578285,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,16384,0,2150509.0,1947829.0,243448.0,2338292.0,6085449.0,1823316.0,8388832.0,4194696.0,0.0,201207782.0,9.0,0.0,4.202480033302091,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,32768,0,2205311.0,2059771.0,156031.0,2237606.0,6088119.0,1952187.0,8388809.0,4194696.0,0.0,190650864.0,9.0,0.0,4.435184130086082,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,65536,0,1830268.0,2114549.0,311280.0,2309018.0,5974262.0,1883968.0,8389023.0,4194696.0,0.0,168454040.0,9.0,0.0,5.019598736842405,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,131072,0,338965.0,3114637.0,1466930.0,1923054.0,5811417.0,538953.0,8388827.0,4194696.0,0.0,71372708.0,9.0,0.0,11.847269216687142,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,262144,0,289959.0,3221714.0,1811236.0,1582601.0,5720728.0,535638.0,8383898.0,4194696.0,0.0,66545412.0,9.0,0.0,12.706686471488073,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,524288,0,291327.0,3279964.0,1811870.0,1523743.0,5709119.0,550893.0,8383635.0,4194696.0,0.0,65084506.0,9.0,0.0,12.991904500281526,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,1048576,0,335630.0,3265193.0,1482762.0,1719487.0,5608131.0,523739.0,8388822.0,4194696.0,0.0,63265250.0,9.0,0.0,13.365499802814341,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,1,0,299276.0,3084801.0,1091066.0,1956787.0,5600588.0,616738.0,8388909.0,4194696.0,0.0,61777316.0,9.0,0.0,13.687413781459849,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,2,0,161367.0,3797648.0,196490.0,2490321.0,9015340.0,3183305.0,8388821.0,4194696.0,0.0,97201504.0,9.0,0.0,8.69916258085883,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,4,0,168006.0,3764917.0,13610.0,3721760.0,11288726.0,3577454.0,8388835.0,4194696.0,0.0,113764008.0,9.0,0.0,7.432681928716858,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,8,0,60297.0,3884266.0,269.0,4002878.0,6041283.0,3832699.0,8388787.0,4194696.0,0.0,101569492.0,9.0,0.0,8.325055779544511,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,16,0,16661.0,3905928.0,257.0,4057041.0,6025984.0,3890934.0,8389023.0,4194696.0,0.0,99329282.0,9.0,0.0,8.512813838722806,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,32,0,3102.0,3972463.0,327.0,4194983.0,6045454.0,3920905.0,8389022.0,4194696.0,0.0,106362430.0,9.0,0.0,7.949909440767761,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,64,0,2715.0,3850104.0,835.0,4195014.0,5997364.0,3771745.0,8389022.0,4194696.0,0.0,133543098.0,9.0,0.0,6.3318261974123144,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,128,0,2822.0,3746376.0,1551.0,4194972.0,5990080.0,0.0,8329058.0,4194696.0,0.0,222625182.0,9.0,0.0,3.7981852672893046,0,0
