MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,DiscardedTscValues,tsc,vaddss_MEM_XMM_XMM,vaddss_XMM_XMM_XMM,vextractf128_IMM_YMM_XMM,vextractps_IMM_XMM_MEM,vfmadd132ps_MEM_XMM_XMM,vfmadd132ps_MEM_YMM_YMM,vfmadd132ss_MEM_XMM_XMM,vfmadd132ss_XMM_XMM_XMM,vfmadd213ps_MEM_YMM_YMM,vfmadd213ss_MEM_XMM_XMM,vfmadd231ps_MEM_XMM_XMM,vfmadd231ps_MEM_YMM_YMM,vfmadd231ss_MEM_XMM_XMM,vfmadd231ss_XMM_XMM_XMM,vinsertps_IMM_MEM_XMM_XMM,vmovaps_XMM_XMM,vmovdqa_XMM_XMM,vmovlhps_XMM_XMM_XMM,vmovss_MEM_XMM,vmovss_XMM_MEM,vmovups_MEM_XMM,vmovups_MEM_YMM,vmovups_XMM_MEM,vmovups_YMM_MEM,vmulps_MEM_XMM_XMM,vmulps_MEM_YMM_YMM,vshufps_IMM_MEM_XMM_XMM,vshufps_IMM_XMM_XMM_XMM,vunpckhps_XMM_XMM_XMM,vzeroupper,MACVETH,Scop Skipped,Scop Vect.,kmovb_GPR_GPR,kxnorb_GPR_GPR_GPR,leaq_MEM_GPR,vaddps_YMM_YMM_YMM,vblendps_IMM_MEM_YMM_YMM,vblendps_IMM_YMM_YMM_YMM,vcmpeqps_XMM_XMM_XMM,vcmpps_IMM_YMM_YMM_YMM,vfmadd132ps_YMM_YMM_YMM,vfmadd231ps_YMM_YMM_YMM,vgatherdps_XMM_MEM_XMM,vgatherdps_YMM_MEM_YMM,vinsertf32x4_IMM_XMM_YMM_YMM,vinsertps_IMM_XMM_XMM_XMM,vmovaps_YMM_YMM,vmovdqa64_LABEL_XMM,vmovdqa64_LABEL_YMM,vmovhps_MEM_XMM_XMM,vmovhps_XMM_MEM,vmovlps_MEM_XMM_XMM,vmovlps_XMM_MEM,vmovq_MEM_XMM,vpermi2ps_MEM_XMM_XMM,vpermilps_IMM_YMM_YMM,vpermt2ps_MEM_XMM_XMM,vpinsrd_IMM_MEM_XMM_XMM,vscatterdps_XMM_MEM,vscatterdps_YMM_MEM,vshufps_IMM_YMM_YMM_YMM,vxorps_XMM_XMM_XMM,vpermilps_IMM_MEM_XMM,vunpcklps_XMM_XMM_XMM,vextractf128_IMM_YMM_MEM,vinsertf32x4_IMM_MEM_YMM_YMM,vmovss_XMM_XMM_XMM,andq_IMM_GPR,leave,movq_GPR_GPR,pushq_GPR,vbroadcastss_XMM_XMM,vfmadd213ps_MEM_XMM_XMM,vbroadcastss_MEM_YMM,vbroadcastss_XMM_YMM,vpxor_XMM_XMM_XMM,vextractf32x4_IMM_YMM_XMM,movq_GPR_MEM,movq_MEM_GPR,popq_GPR,vaddps_MEM_XMM_XMM,vinsertf128_IMM_XMM_YMM_YMM,vmovdqa64_YMM_YMM,vextractps_IMM_XMM_GPR,vmovd_GPR_XMM,addq_IMM_GPR,vmovaps_MEM_XMM,vmovaps_XMM_MEM
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,33797.57894736842,8153.0,2590.842105263158,true,0.03333333333333333,0.05,64246.94736842105,-1.0,20.0,-1.0,5.0,11.0,1.0,113.0,-1.0,-1.0,74.0,12.0,1.0,433.0,-1.0,4.0,13.0,1.0,3.0,505.0,165.0,19.0,1.0,14.0,1.0,5.0,-1.0,2.0,18.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,16.0,4.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,41802.35,10317.0,1778.6315789473683,-1,0.016666666666666666,0.05,77430.21052631579,80.0,82.0,140.0,119.0,-1.0,37.0,79.0,-1.0,-1.0,-1.0,-1.0,20.0,156.0,-1.0,80.0,202.0,-1.0,40.0,509.0,275.0,125.0,168.0,41.0,36.0,1.0,-1.0,-1.0,2.0,80.0,1.0,1.0,5.0,328.0,34.0,7.0,-1.0,80.0,120.0,-1.0,1.0,1.0,114.0,6.0,39.0,39.0,161.0,42.0,41.0,45.0,4.0,198.0,40.0,157.0,78.0,-1.0,-1.0,40.0,-1.0,161.0,41.0,-1.0,40.0,7.0,-1.0,-1.0,1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,86575.52631578948,20784.0,6282.3,true,0.016666666666666666,0.05,144683.26315789475,-1.0,-1.0,-1.0,5.0,8.0,96.0,312.0,-1.0,1.0,82.0,1.0,-1.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,757.0,393.0,13.0,193.0,4.0,97.0,-1.0,-1.0,-1.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,41498.42105263158,10317.0,1821.7894736842106,-1,0.03333333333333333,0.0,76865.2,-1.0,1536.0,195.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,135.0,-1.0,-1.0,15.0,-1.0,-1.0,189.0,12.0,22.0,198.0,-1.0,-1.0,14.0,185.0,-1.0,768.0,384.0,1.0,1.0,0.0,396.0,12.0,1.0,13.0,-1.0,-1.0,13.0,1.0,1.0,8.0,5.0,11.0,15.0,11.0,25.0,14.0,19.0,15.0,1.0,-1.0,12.0,9.0,-1.0,8.0,-1.0,16.0,-1.0,10.0,3.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,256076.84210526315,68971.0,9218.35,true,0.016666666666666666,0.05,469560.5263157895,-1.0,-1.0,1.0,37.0,26.0,-1.0,273.0,18.0,-1.0,59.0,6.0,2.0,325.0,1.0,20.0,55.0,-1.0,12.0,712.0,356.0,59.0,-1.0,1.0,-1.0,-1.0,-1.0,58.0,45.0,22.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,307928.0,76329.1,13410.0,-1,0.0,0.05,554025.5789473684,4.0,4.0,100.0,71.0,20.0,3.0,161.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,16.0,237.0,-1.0,8.0,738.0,186.0,125.0,225.0,1.0,-1.0,-1.0,-1.0,40.0,1.0,4.0,1.0,1.0,0.0,1750.0,219.0,10.0,238.0,4.0,-1.0,236.0,1.0,1.0,221.0,12.0,113.0,343.0,126.0,217.0,342.0,107.0,322.0,17.0,5.0,116.0,87.0,-1.0,-1.0,2.0,-1.0,14.0,98.0,131.0,2.0,4.0,-1.0,-1.0,5.0,5.0,-1.0,1.0,-1.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,6.0,-1.0,4.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,276568.2631578947,76767.0,13058.3,true,0.016666666666666666,0.05,509426.1052631579,-1.0,4.0,-1.0,3.0,3.0,-1.0,75.0,-1.0,-1.0,5.0,2.0,-1.0,537.0,1.0,12.0,9.0,-1.0,8.0,569.0,32.0,2.0,-1.0,2.0,-1.0,1.0,-1.0,-1.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,gcc,354881.2631578947,96558.0,18080.6,-1,0.03333333333333333,0.05,677346.1052631579,-1.0,-1.0,48.0,417.0,2.0,-1.0,277.0,-1.0,-1.0,104.0,143.0,-1.0,341.0,-1.0,-1.0,168.0,-1.0,-1.0,1113.0,471.0,421.0,105.0,-1.0,-1.0,-1.0,-1.0,145.0,11.0,7.0,1.0,1.0,7.0,3871.0,97.0,9.0,53.0,-1.0,-1.0,153.0,1.0,1.0,98.0,12.0,50.0,91.0,126.0,70.0,90.0,75.0,91.0,99.0,32.0,65.0,8.0,1.0,-1.0,-1.0,-1.0,129.0,47.0,59.0,-1.0,2.0,-1.0,-1.0,3.0,2.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,gcc,318529.2631578947,81765.0,15396.2,true,0.03333333333333333,0.05,554200.6315789474,-1.0,-1.0,-1.0,390.0,18.0,-1.0,207.0,1.0,-1.0,111.0,134.0,-1.0,623.0,-1.0,-1.0,36.0,-1.0,-1.0,884.0,477.0,282.0,-1.0,-1.0,-1.0,-1.0,-1.0,152.0,44.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,gcc,428481.6842105263,108830.0,21833.9,-1,0.03333333333333333,0.05,766234.5263157894,-1.0,-1.0,48.0,417.0,2.0,-1.0,277.0,-1.0,-1.0,104.0,143.0,-1.0,341.0,-1.0,-1.0,168.0,-1.0,-1.0,1113.0,471.0,421.0,105.0,-1.0,-1.0,-1.0,-1.0,145.0,11.0,7.0,1.0,1.0,1.0,3163.0,97.0,9.0,53.0,-1.0,-1.0,153.0,1.0,1.0,98.0,12.0,50.0,91.0,126.0,70.0,90.0,75.0,91.0,99.0,32.0,65.0,8.0,1.0,-1.0,-1.0,-1.0,129.0,47.0,59.0,-1.0,2.0,-1.0,-1.0,3.0,2.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, AUTOVEC=true ,gcc,66451.15789473684,17432.0,2434.8,true,0.03333333333333333,0.05,110053.57894736843,-1.0,12.0,12.0,55.0,22.0,25.0,217.0,-1.0,-1.0,33.0,2.0,8.0,254.0,-1.0,71.0,13.0,4.0,46.0,647.0,218.0,24.0,42.0,23.0,21.0,3.0,-1.0,-1.0,17.0,9.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,gcc,157060.8947368421,37905.0,16227.0,-1,0.03333333333333333,0.05,268748.63157894736,4.0,16.0,94.0,-1.0,2.0,2.0,714.0,-1.0,-1.0,46.0,-1.0,-1.0,1577.0,-1.0,-1.0,369.0,-1.0,-1.0,2985.0,647.0,56.0,113.0,5.0,2.0,1.0,1.0,-1.0,6.0,7.0,1.0,1.0,0.0,564.0,165.0,11.0,134.0,4.0,-1.0,171.0,1.0,1.0,213.0,18.0,84.0,284.0,296.0,164.0,283.0,82.0,283.0,430.0,79.0,462.0,82.0,2.0,-1.0,2.0,-1.0,32.0,77.0,99.0,2.0,4.0,-1.0,-1.0,39.0,3.0,-1.0,1.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0
