compiler,compiler_flags,ELEMS,OFFSET,IDX0,IDX1,IDX2,IDX3,IDX4,IDX5,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,CL_IDX5,DiscardedpapiValues,DiscardedtscValues,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,SET_IDX5,loop_interchange,loops_vectorized,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_YMM,vxorps_XMM_XMM_XMM,SCATTER,kmovb_GPR_GPR,vmovq_XMM_GPR,vscatterdps_MEM_YMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,4,80,6.73,-DGATHER,0.0,0.0,0.0,3.0,0.0,5.0,0.1,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,124.3338,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,4,80,7.7331,-DSCATTER,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,259.46279999999996,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,11,5,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,121.1084,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,11,5,7.733,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,235.73779999999996,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,11,12,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,117.75219999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,11,12,7.733,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,235.0754,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,11,80,6.73,-DGATHER,0.0,0.0,0.0,3.0,0.0,5.0,0.1,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,121.3104,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,11,80,7.733,-DSCATTER,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,248.2904,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,64,5,6.73,-DGATHER,0.0,0.0,0.0,3.0,4.0,0.0,0.1,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,120.64859999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,64,5,7.7331,-DSCATTER,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,254.13599999999997,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,64,12,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,124.393,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,64,12,7.7334000000000005,-DSCATTER,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,255.4884,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,64,80,6.730200000000001,-DGATHER,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,131.7348,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,2,48,64,80,7.733,-DSCATTER,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,222.705,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,4,5,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.2766,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,4,5,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.6968,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,4,12,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.82400000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,4,12,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.27239999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,4,80,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,118.5758,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,4,80,7.733200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,214.54940000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,11,5,6.730200000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.2328,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,11,5,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.6296,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,11,12,6.73,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.93780000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,11,12,7.733199999999999,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.61760000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,11,80,6.73,-DGATHER,0.0,0.0,0.0,0.0,0.0,5.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,113.54840000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,11,80,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,208.47459999999995,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,64,5,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,113.72440000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,64,5,7.733,-DSCATTER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,235.93080000000003,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,64,12,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,118.93819999999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,64,12,7.733200000000001,-DSCATTER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,234.57799999999997,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,64,80,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,117.0452,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,3,64,80,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,216.12779999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,10,4,5,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.8136,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,10,4,5,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.10860000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,10,4,12,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.60719999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,6,65536,0,1,9,10,4,12,7.733200000000001,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.5242,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
