compiler,compiler_flags,ELEMS,OFFSET,IDX0,IDX1,IDX2,IDX3,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,DiscardedpapiValues,DiscardedtscValues,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,loop_interchange,loops_vectorized,tsc,vgatherdps_XMM_GPR_GPR_MEM_XMM,vmovaps_XMM_XMM,SCATTER,kmovb_GPR_GPR,vmovq_XMM_GPR,vscatterdps_MEM_XMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,9,3,5.732,-DGATHER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,113.335,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,9,3,7.7323,-DSCATTER,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,233.5578,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,9,10,5.732,-DGATHER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,119.147,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,9,10,7.732000000000001,-DSCATTER,0.0,1.0,0.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,233.22580000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,9,48,5.732,-DGATHER,0.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,124.04379999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,9,48,7.732200000000001,-DSCATTER,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,261.8026,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,32,3,5.7322,-DGATHER,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,125.87299999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,32,3,7.732000000000001,-DSCATTER,0.0,1.0,2.0,0.0,0.1,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,268.0234,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,32,10,5.732,-DGATHER,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,119.73140000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,32,10,7.732000000000001,-DSCATTER,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,254.2578,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,32,48,5.732,-DGATHER,0.0,1.0,2.0,3.0,0.1,0.0,1.0,4.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,127.2354,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.036
gcc-11, -march=native -mtune=native -Ofast ,4,65536,0,16,32,48,7.732200000000001,-DSCATTER,0.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,221.744,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.036
