compiler,compiler_flags,ELEMS,OFFSET,IDX0,IDX1,IDX2,IDX3,IDX4,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,DiscardedpapiValues,DiscardedtscValues,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,loop_interchange,loops_vectorized,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_YMM,vxorps_XMM_XMM_XMM,SCATTER,kmovb_GPR_GPR,vmovq_XMM_GPR,vscatterdps_MEM_YMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,10,64,6.730200000000001,-DGATHER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,118.5164,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,10,64,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,210.9536,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,48,4,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,117.8982,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,48,4,7.7331,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,235.11920000000003,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,48,11,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,117.74360000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,48,11,7.7333,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,236.0024,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,48,64,6.73,-DGATHER,0.0,0.0,0.0,3.0,4.0,0.1,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,121.89479999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,2,48,64,7.733200000000001,-DSCATTER,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,216.9264,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,9,3,4,6.73,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.6338,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,8,9,3,4,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.9904,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
